fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
01/01/2021,16:07:00,Regular,Domestico,Aterrizaje,SIS,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-800,23,DEFINITIVO
01/01/2021,16:10:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,FDO,MGI,0,BE-300-LW,0,DEFINITIVO
01/01/2021,16:10:00,Regular,Domestico,Aterrizaje,ROS,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,8,DEFINITIVO
01/01/2021,16:16:00,Regular,Domestico,Aterrizaje,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8SH,80,DEFINITIVO
01/01/2021,16:17:00,Regular,Domestico,Aterrizaje,EZE,USU,AEROLINEAS ARGENTINAS SA,BO-737-8SH,23,DEFINITIVO
01/01/2021,16:22:00,Regular,Domestico,Despegue,EZE,DOZ,AEROLINEAS ARGENTINAS SA,BO-737-800,74,DEFINITIVO
01/01/2021,16:28:00,Regular,Domestico,Despegue,EZE,POS,AEROLINEAS ARGENTINAS SA,BO-B-737-7BD,51,DEFINITIVO
01/01/2021,16:31:00,Vuelo Privado con Matrícula Nacional,Internacional,Despegue,FDO,2289,0,BE-B-200-GT,0,DEFINITIVO
01/01/2021,16:42:00,Regular,Internacional,Despegue,EZE,SBGL,AEROLINEAS ARGENTINAS SA,BO-B737-800,81,DEFINITIVO
01/01/2021,16:43:00,No Regular,Domestico,Despegue,BAR,LNH,0,CE-337-F,0,DEFINITIVO
01/01/2021,16:43:00,Regular,Domestico,Despegue,MDP,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,17,DEFINITIVO
01/01/2021,16:53:00,Regular,Domestico,Aterrizaje,EZE,CBA,AEROLINEAS ARGENTINAS SA,BO-B-737-81D,45,DEFINITIVO
01/01/2021,16:53:00,Vuelo Oficial Nacional,Domestico,Despegue,CRV,PAL,0,0,5,DEFINITIVO
01/01/2021,16:57:00,Regular,Domestico,Despegue,EZE,IGU,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,64,DEFINITIVO
01/01/2021,17:07:00,Regular,Domestico,Aterrizaje,JUA,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,42,DEFINITIVO
01/01/2021,17:10:00,Regular,Domestico,Aterrizaje,CBA,BAR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,5,DEFINITIVO
01/01/2021,17:12:00,Regular,Domestico,Aterrizaje,NEU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,82,DEFINITIVO
01/01/2021,17:21:00,Regular,Domestico,Despegue,ROS,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,24,DEFINITIVO
01/01/2021,17:22:00,No Regular,Domestico,Aterrizaje,CHP,FDO,0,GU-GV,0,DEFINITIVO
01/01/2021,17:26:00,Regular,Domestico,Aterrizaje,EZE,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,12,DEFINITIVO
01/01/2021,17:26:00,Regular,Domestico,Despegue,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8SH,15,DEFINITIVO
01/01/2021,17:26:00,Regular,Domestico,Despegue,SIS,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-800,53,DEFINITIVO
01/01/2021,17:28:00,Regular,Internacional,Despegue,EZE,SLVR,BOLIVIANA DE AVIACION,0,134,DEFINITIVO
01/01/2021,17:30:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,CBA,RLA,0,BE-200,3,DEFINITIVO
01/01/2021,17:31:00,Regular,Domestico,Despegue,EZE,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,93,DEFINITIVO
01/01/2021,17:34:00,Regular,Domestico,Aterrizaje,EZE,TRE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,23,DEFINITIVO
01/01/2021,17:34:00,Regular,Domestico,Aterrizaje,POS,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-7BD,51,DEFINITIVO
01/01/2021,17:37:00,Regular,Domestico,Despegue,CBA,MDP,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,35,DEFINITIVO
01/01/2021,17:38:00,Regular,Domestico,Aterrizaje,USU,EZE,AEROLINEAS ARGENTINAS SA,AIB-A-330-223,96,DEFINITIVO
01/01/2021,17:39:00,Regular,Internacional,Aterrizaje,EZE,SCEL,SKY AIRLINE S.A.,0,89,DEFINITIVO
01/01/2021,17:45:00,Regular,Domestico,Despegue,EZE,CBA,AEROLINEAS ARGENTINAS SA,BO-B737-81D,79,DEFINITIVO
01/01/2021,17:55:00,Regular,Domestico,Aterrizaje,DOZ,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,74,DEFINITIVO
01/01/2021,18:03:00,Regular,Domestico,Aterrizaje,EZE,ROS,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,24,DEFINITIVO
01/01/2021,18:09:00,Regular,Domestico,Aterrizaje,MDP,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,44,DEFINITIVO
01/01/2021,18:10:00,Regular,Domestico,Aterrizaje,EZE,ECA,AEROLINEAS ARGENTINAS SA,BO-737-8HX,62,DEFINITIVO
01/01/2021,18:10:00,Regular,Domestico,Despegue,JUA,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,41,DEFINITIVO
01/01/2021,18:12:00,Regular,Domestico,Despegue,EZE,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8BK,0,DEFINITIVO
01/01/2021,18:15:00,Regular,Domestico,Despegue,NEU,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,64,DEFINITIVO
01/01/2021,18:17:00,Regular,Domestico,Despegue,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,82,DEFINITIVO
01/01/2021,18:21:00,Regular,Domestico,Aterrizaje,IGU,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,62,DEFINITIVO
01/01/2021,18:26:00,Regular,Internacional,Despegue,EZE,SBGR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,62,DEFINITIVO
01/01/2021,18:27:00,Regular,Domestico,Despegue,CBA,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,41,DEFINITIVO
01/01/2021,18:38:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,MDP,MPP,0,CE-182-C,0,DEFINITIVO
01/01/2021,18:38:00,Regular,Domestico,Despegue,POS,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-7BD,27,DEFINITIVO
01/01/2021,18:40:00,Regular,Internacional,Aterrizaje,EZE,SBGR,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,20,DEFINITIVO
01/01/2021,18:43:00,Regular,Domestico,Aterrizaje,EZE,SIS,AEROLINEAS ARGENTINAS SA,BO-B737-800,39,DEFINITIVO
01/01/2021,18:47:00,Regular,Domestico,Aterrizaje,CBA,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-81D,79,DEFINITIVO
01/01/2021,18:48:00,Regular,Domestico,Aterrizaje,EZE,VIE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,23,DEFINITIVO
01/01/2021,18:49:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,CHP,OSA,0,MO-M-20-E,0,DEFINITIVO
01/01/2021,18:49:00,Regular,Internacional,Despegue,EZE,SCEL,SKY AIRLINE S.A.,0,123,DEFINITIVO
01/01/2021,18:52:00,Regular,Domestico,Despegue,EZE,TRE,AEROLINEAS ARGENTINAS SA,BO-737-800,80,DEFINITIVO
01/01/2021,18:55:00,Vuelo Privado con Matrícula Nacional,Domestico,Aterrizaje,CHP,OSA,0,MO-M-20-J,0,DEFINITIVO
01/01/2021,18:56:00,Regular,Domestico,Despegue,EZE,NEU,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,60,DEFINITIVO
01/01/2021,18:59:00,Regular,Domestico,Aterrizaje,MDP,CBA,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,35,DEFINITIVO
01/01/2021,18:59:00,No Regular,Domestico,Despegue,CHP,FDO,0,GU-GV,7,DEFINITIVO
01/01/2021,19:00:00,Vuelo Privado con Matrícula Nacional,Internacional,Aterrizaje,FDO,2289,0,BE-B-200-GT,8,DEFINITIVO
01/01/2021,19:02:00,Regular,Domestico,Despegue,USU,EZE,AEROLINEAS ARGENTINAS SA,AIB-A-330-223,94,DEFINITIVO
01/01/2021,19:03:00,Regular,Domestico,Despegue,MDP,TUC,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,7,DEFINITIVO
01/01/2021,19:05:00,Regular,Internacional,Aterrizaje,EZE,SPJC,LAN PERU,0,89,DEFINITIVO
01/01/2021,19:05:00,Regular,Domestico,Despegue,DOZ,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,64,DEFINITIVO
01/01/2021,19:06:00,Regular,Domestico,Despegue,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-737-8BK,83,DEFINITIVO
