entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
CIUDAD DE MEXICO,Distrito 23,COYOACAN,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,GISELLE HERNANDEZ GARCIA,95293.38
OAXACA,Distrito 4,TLACOLULA DE MATAMOROS,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,AZAEL SANTIAGO CHEPI,925024.99
MEXICO,Distrito 32,VALLE DE CHALCO SOLIDARIDAD,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JORGE LUIS NUÑEZ SABINO,1138042.29
MEXICO,Distrito 6,COACALCO DE BERRIOZABAL,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,ELVIA HERNANDEZ GARCIA,228238.35
SONORA,Distrito 6,CD. OBREGON,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,OMAR ALBERTO GUILLEN PARTIDA,1145646.1
QUERETARO,Distrito 3,SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,JUAN ERREGUIN OLVERA,84649.14
PUEBLA,Distrito 6,HEROICA PUEBLA DE ZARAGOZA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,XITLALIC CEJA GARCIA,1197776.34
CHIHUAHUA,Distrito 7,CUAUHTEMOC,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,PATRICIA TERRAZAS BACA,858088.5
MEXICO,Distrito 34,TOLUCA DE LERDO,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,LIZETH MARLENE HERNANDEZ HERNANDEZ,82352.26
COAHUILA,Distrito 5,TORREON,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,ANTONIO ATTOLINI MURRA,1146396.32
MEXICO,Distrito 24,"NAUCALPAN DE JUAREZ",DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,MARIA GUADALUPE GODINEZ GONZALEZ,228238.35
